name,dataset,F1,IoU,MAE
Casiav1__Sp_D_NNN_A_arc0002_arc0026_0201.png,Casiav1,0.0,0.0,0.042205810546875
Casiav1__Sp_D_NNN_A_arc0002_sec0063_0102.png,Casiav1,0.0,0.0,0.01853434182703495
Casiav1__Sp_D_NNN_A_arc0012_cha0098_0289.png,Casiav1,0.0,0.0,0.0912373885512352
Casiav1__Sp_D_NNN_A_arc0026_arc0008_0290.png,Casiav1,0.0,0.0,0.02898152731359005
Casiav1__Sp_D_NNN_A_arc0027_arc0094_0291.png,Casiav1,0.0,0.0,0.096832275390625
Casiav1__Sp_D_NNN_A_arc0028_arc0034_0103.png,Casiav1,0.0,0.0,0.02042643167078495
Casiav1__Sp_D_NNN_A_arc0030_art0034_0292.png,Casiav1,0.0,0.0,0.1955668181180954
Casiav1__Sp_D_NNN_A_arc0032_arc0031_0104.png,Casiav1,0.0,0.0,0.011454264633357525
Casiav1__Sp_D_NNN_A_arc0043_arc0044_0105.png,Casiav1,0.0,0.0,0.0044657387770712376
Casiav1__Sp_D_NNN_A_arc0051_arc0029_0018.png,Casiav1,0.0,0.0,0.0074462890625
Casiav1__Sp_D_NNN_A_arc0052_ani0017_0293.png,Casiav1,0.0,0.0,0.0478108711540699
Casiav1__Sp_D_NNN_A_arc0072_pla0097_0294.png,Casiav1,0.0,0.0,0.1463216096162796
Casiav1__Sp_D_NNN_A_arc0075_cha0055_0295.png,Casiav1,0.0,0.0,0.0591634102165699
Casiav1__Sp_D_NNN_A_arc0078_arc0064_0106.png,Casiav1,0.0,0.0,0.0177001953125
Casiav1__Sp_D_NNN_A_art0033_cha0095_0296.png,Casiav1,0.0,0.0,0.27618408203125
Casiav1__Sp_D_NNN_A_art0035_cha0045_0297.png,Casiav1,0.0,0.0,0.263458251953125
Casiav1__Sp_D_NNN_A_art0039_art0038_0298.png,Casiav1,0.0,0.0,0.0803324356675148
Casiav1__Sp_D_NNN_A_art0043_cha0047_0299.png,Casiav1,0.0,0.0,0.1284077912569046
Casiav1__Sp_D_NNN_A_art0045_cha0091_0300.png,Casiav1,0.0,0.0,0.18743896484375
Casiav1__Sp_D_NNN_A_art0067_cha0071_0301.png,Casiav1,0.0,0.0,0.10528564453125
Casiav1__Sp_D_NNN_A_art0072_cha0060_0107.png,Casiav1,0.0,0.0,0.0642598494887352
Casiav1__Sp_D_NNN_A_art0084_cha0033_0302.png,Casiav1,0.0,0.0,0.0776875838637352
Casiav1__Sp_D_NNN_A_art0088_art0092_0108.png,Casiav1,0.0,0.0,0.0386861152946949
Casiav1__Sp_D_NNN_A_cha0006_cha0003_0303.png,Casiav1,0.0,0.0,0.016448974609375
Casiav1__Sp_D_NNN_A_cha0009_sec0022_0109.png,Casiav1,0.0,0.0,0.00732421875
Casiav1__Sp_D_NNN_A_cha0021_cha0020_0304.png,Casiav1,0.0,0.0,0.10076904296875
Casiav1__Sp_D_NNN_A_cha0022_pla0055_0305.png,Casiav1,0.0,0.0,0.3319295346736908
Casiav1__Sp_D_NNN_A_cha0034_cha0040_0306.png,Casiav1,0.0,0.0,0.0866902694106102
Casiav1__Sp_D_NNN_A_cha0036_cha0028_0307.png,Casiav1,0.0,0.0,0.1261800080537796
Casiav1__Sp_D_NNN_A_cha0037_arc0053_0308.png,Casiav1,0.0,0.0,0.0400797538459301
Casiav1__Sp_D_NNN_A_cha0039_nat0019_0320.png,Casiav1,0.0,0.0,0.246368408203125
Casiav1__Sp_D_NNN_A_cha0056_cha0057_0310.png,Casiav1,0.0,0.0,0.0377705879509449
Casiav1__Sp_D_NNN_A_cha0058_cha0027_0311.png,Casiav1,0.0,0.0,0.1551615446805954
Casiav1__Sp_D_NNN_A_cha0079_cha0002_0312.png,Casiav1,0.0,0.0,0.1285400390625
Casiav1__Sp_D_NNN_A_cha0082_arc0050_0111.png,Casiav1,0.0,0.0,0.1115824356675148
Casiav1__Sp_D_NNN_A_cha0085_ani0037_0313.png,Casiav1,0.0,0.0,0.22186279296875
Casiav1__Sp_D_NNN_A_cha0089_ani0073_0314.png,Casiav1,0.0,0.0,0.1978047639131546
Casiav1__Sp_D_NNN_A_cha0092_cha0097_0315.png,Casiav1,0.0,0.0,0.0794169083237648
