name,prefix,F1,IoU,MAE
IA (1724).png,IA,0.15854402081131616,0.08609710066551149,0.5556541085243225
IA (1732).png,IA,0.06378956532553946,0.03294557460447967,0.5008350610733032
IA (1734).png,IA,0.35063948914057785,0.21259117508389494,0.4894062280654907
IA (1737).png,IA,0.27590979792927184,0.16003211293579003,0.5200629830360413
IA (1747).png,IA,0.08409246931959304,0.04389171605256377,0.5782092809677124
IA (1750).png,IA,0.18198069617743948,0.10009832997636908,0.5548555254936218
IA (1752).png,IA,0.11846669874810564,0.06296284985723229,0.5999287962913513
IA (1769).png,IA,0.05027686578134954,0.025786669347541973,0.518125593662262
IA (1783).png,IA,0.22455763479291474,0.12647982226487123,0.5669153928756714
IA (1791).png,IA,0.019955977926372562,0.010078552650295823,0.557925283908844
IA (1796).png,IA,0.05568223898341421,0.028638445885666743,0.5771403908729553
IA (1812).png,IA,0.04717711393922243,0.024158419217621838,0.5518331527709961
IA (1819).png,IA,0.12055688370130783,0.06414500266372958,0.5196315050125122
IA (1820).png,IA,0.15021004119254455,0.08120383640171977,0.5604096055030823
IA (1822).png,IA,0.20252800776933788,0.11267380445689208,0.5431174039840698
IA (1836).png,IA,0.2287443445560844,0.12914247802288936,0.5345171093940735
IA (186).png,IA,0.1427776217348007,0.07687696605732638,0.5643370747566223
IA (1866).png,IA,0.19083341087879288,0.10548139238603182,0.549244225025177
IA (1867).png,IA,0.09824809490140624,0.05166188851342978,0.5556109547615051
IA (1872).png,IA,0.03921042877534443,0.019997265056267446,0.5399307012557983
IA (1889).png,IA,0.06906082031978568,0.035765404237756954,0.5573337078094482
IA (1891).png,IA,0.1639737865594448,0.08930906615552729,0.519011378288269
IA (190).png,IA,0.05119731181803076,0.026271162354457003,0.5605944395065308
IA (1909).png,IA,0.06154978078242882,0.03175205644810035,0.5175414681434631
IA (1916).png,IA,0.1278506426279393,0.06829083487623203,0.5253576040267944
IA (1927).png,IA,0.0531610799705219,0.027306357718447995,0.5599882006645203
IA (1931).png,IA,0.038725346886455125,0.01974498922166674,0.5664191842079163
IA (1950).png,IA,0.08556300741263678,0.04469356147208496,0.5375035405158997
IA (1953).png,IA,0.08183510881841213,0.04266322942028294,0.5358067154884338
IA (1963).png,IA,0.011436699199777974,0.00575123718474323,0.5683901309967041
IA (1965).png,IA,0.38024271977645674,0.23475290058519094,0.5559936165809631
IA (1980).png,IA,0.09959512842788533,0.052407321154410116,0.5499921441078186
IA (1985).png,IA,0.030998864926220206,0.015743446955940255,0.50347501039505
IA (1987).png,IA,0.09285800710569446,0.0486896138051954,0.48970773816108704
IA (1992).png,IA,0.02008843148914624,0.010146125619264555,0.5454183220863342
IA (2011).png,IA,0.09629504515693152,0.050582967130465645,0.5391780138015747
IA (2017).png,IA,0.4817460635978114,0.3173026936056604,0.48487186431884766
IA (2038).png,IA,0.020495786430460725,0.010353999900561826,0.5311932563781738
IA (2047).png,IA,0.7512603638034375,0.6016148939515064,0.43082335591316223
IA (2049).png,IA,0.01878111506972135,0.00947957603906157,0.5572869777679443
IA (2051).png,IA,0.013201400075090533,0.006644558776913511,0.545182466506958
IA (2058).png,IA,0.017262804777266966,0.008706552143602537,0.5384007096290588
